CWNS_ID,DUMMY_ID,FACILITY_NAME,PERMIT_NUMBER,TOTAL_RES_POPULATION_2022,FACILITY_TYPE,CURRENT_DESIGN_FLOW,COUNTY_NAME,STATE_CODE
6009043001,6009043001,Carlsbad Collection System,['2006-0003-DWQ'],104967.0,Collection: Pump Stations,,San Diego,CA
6009043001,6009043001t0,Carlsbad Collection System (Collection: Separate Sewers),['2006-0003-DWQ'],104967.0,Collection: Separate Sewers,,San Diego,CA
6009046001,6009046001,"Del Mar, City of (Collection)",['2006-0003-DWQ'],3521.0,Collection: Separate Sewers,,San Diego,CA
6009047001,6009047001,Encinitas Collection System,['R9-2007-0005'],17550.0,Collection: Pump Stations,,San Diego,CA
6009047001,6009047001t0,Encinitas Collection System (Collection: Separate Sewers),['R9-2007-0005'],17550.0,Collection: Separate Sewers,,San Diego,CA
6009049001,6009049001,Imperial Beach Collection System,['2006-0003-DWQ'],24300.0,Collection: Pump Stations,,San Diego,CA
6009049001,6009049001t0,Imperial Beach Collection System (Collection: Separate Sewers),['2006-0003-DWQ'],24300.0,Collection: Separate Sewers,,San Diego,CA
6009050001,6009050001,National City Collection System,,58307.0,Collection: Separate Sewers,,San Diego,CA
6009053001,6009053001t0,PAUMA VALLEY WWTF (Collection: Separate Sewers),,762.0,Collection: Separate Sewers,0.12,,CA
6009053001,6009053001t1,PAUMA VALLEY WWTF (Treatment Plant),,762.0,Treatment Plant,0.12,,CA
6009058001,6009058001t0,RANCHO DEL CAMPO WWTF (Collection: Separate Sewers),['Order WQ 2014-0153-D'],557.0,Collection: Separate Sewers,0.31,,CA
6009058001,6009058001t1,RANCHO DEL CAMPO WWTF (Treatment Plant),['Order WQ 2014-0153-D'],557.0,Treatment Plant,0.31,,CA
6009065001,6009065001t0,Skyline Ranch Country Club WWTF (Collection: Separate Sewers),,333.0,Collection: Separate Sewers,0.042,,CA
6009065001,6009065001t1,Skyline Ranch Country Club WWTF (Treatment Plant),,333.0,Treatment Plant,0.042,,CA
6009068002,6009068002t0,PALA RESERVATION LAGOON (Collection: Separate Sewers),,591.0,Collection: Separate Sewers,0.07,,CA
6009068002,6009068002t1,PALA RESERVATION LAGOON (Treatment Plant),,591.0,Treatment Plant,0.07,,CA
6009069001,6009069001t0,Borrego Springs WWRF (Collection: Separate Sewers),['R7-2019-0015'],900.0,Collection: Separate Sewers,0.25,San Diego,CA
6009069001,6009069001t1,Borrego Springs WWRF (Treatment Plant),['R7-2019-0015'],900.0,Treatment Plant,0.25,San Diego,CA
6009074001,6009074001,Santa Margarita Water District (Oso Creek WRP),['CA0107417'],45676.0,Collection: Pump Stations,3.0,Orange,CA
6009074001,6009074001t0,Santa Margarita Water District (Oso Creek WRP) (Collection: Separate Sewers),['CA0107417'],45676.0,Collection: Separate Sewers,3.0,Orange,CA
6009074001,6009074001t1,Santa Margarita Water District (Oso Creek WRP) (Treatment Plant),['CA0107417'],45676.0,Treatment Plant,3.0,Orange,CA
6009074002,6009074002,Santa Margarita Water District (Chiquita WRP),['CA0107417'],137026.0,Collection: Pump Stations,9.0,Orange,CA
6009074002,6009074002t0,Santa Margarita Water District (Chiquita WRP) (Collection: Separate Sewers),['CA0107417'],137026.0,Collection: Separate Sewers,9.0,Orange,CA
6009074002,6009074002t1,Santa Margarita Water District (Chiquita WRP) (Treatment Plant),['CA0107417'],137026.0,Treatment Plant,9.0,Orange,CA
6009074002,6009074002t2,Santa Margarita Water District (Chiquita WRP) (Water Reuse),['CA0107417'],137026.0,Water Reuse,9.0,Orange,CA
6009075001,6009075001t0,MNWD WWTP 3A (Treatment Plant),['CA0107417'],38250.0,Treatment Plant,6.0,Orange,CA
6009075001,6009075001t1,MNWD WWTP 3A (Water Reuse),['CA0107417'],38250.0,Water Reuse,6.0,Orange,CA
6009076001,6009076001t0,Irvine Ranch Water District (Los Alisos WRP) (Treatment Plant),['CA8000326'],120986.0,Treatment Plant,7.5,Orange,CA
6009076001,6009076001t1,Irvine Ranch Water District (Los Alisos WRP) (Water Reuse),['CA8000326'],120986.0,Water Reuse,7.5,Orange,CA
6009077001,6009077001,Moulton Niguel Water District Collection,,153000.0,Collection: Separate Sewers,,Orange,CA
6009080001,6009080001t0,4S Ranch Wastewater Treatment Plant (Collection: Separate Sewers),,56695.0,Collection: Separate Sewers,8.0,,CA
6009080001,6009080001t1,4S Ranch Wastewater Treatment Plant (Treatment Plant),,56695.0,Treatment Plant,8.0,,CA
6012001032,6012001032,Stormwater,,0.0,Phase II MS4,,Contra Costa,CA
6012001081,6012001081,Urban Runoff - San Clemente,['CA0107417'],0.0,Unregulated Community Stormwater,,,CA
6012001102,6012001102,3-5 Storm Drain Facility,['CAS618036'],0.0,Phase II MS4,,,CA
6012001109,6012001109,Stormwater Drainage-Richgrove,,0.0,Unregulated Community Stormwater,,,CA
6012001110,6012001110,Earlimart Community Stormwater,,0.0,Unregulated Community Stormwater,,,CA
6012004008,6012004008,Calleguas Salinity Mngmt. Project,['CAG674001'],0.0,Unregulated Community Stormwater,,,CA
6021003001,6021003001,Weaverville Storm Water System,['CA000000 '],0.0,Phase II MS4,,,CA
6021010005,6021010005,Eureka Storm Water System,['CAS000001'],0.0,Phase II MS4,,Humboldt,CA
6022003001,6022003001,San Anselmo Storm Water System,['CA0000000'],0.0,Phase II MS4,,,CA
6022008001,6022008001,"Sunnyvale, City of (Stormwater)",['CAS612008'],0.0,Phase I MS4,,Santa Clara,CA
6022012001,6022012001,Palo Alto Stormwater,"['CA0037834', 'CAS000004']",0.0,Phase II MS4,,Santa Clara,CA
6022018001,6022018001,Milpitas Storm Water System,['CA0000000'],0.0,Phase II MS4,,Santa Clara,CA
6022032001,6022032001,San Francisco Storm Water System,['CA0037664'],0.0,Phase II MS4,,San Francisco,CA
6022033001,6022033001,Napa County Storm Water System,['CA0000000'],0.0,Phase II MS4,,,CA
6022039001,6022039001,Millbrae Storm Water System,['CAS612008'],0.0,Phase II MS4,,San Mateo,CA
6022041001,6022041001,Santa Clara Storm Water System,['CA029718 '],0.0,Phase I MS4,,,CA
6022041002,6022041002,City of San Jose (Stormwater),"['CAS612008', 'CAS029718']",0.0,Phase I MS4,,Santa Clara,CA
6022044001,6022044001,San Rafael Storm Water System,,0.0,Phase II MS4,,Marin,CA
6022047001,6022047001,Vallejo Storm Water System,['CAS108766'],0.0,Phase I MS4,,Solano,CA
6022054001,6022054001,American Canyon Storm Water System,['CAS612007'],0.0,Phase II MS4,,Napa,CA
6022092001,6022092001,Fairfax Storm Water System,['CA0000000'],0.0,Phase II MS4,,,CA
6022109001,6022109001,Livermore Storm Water System,['CAS029831'],0.0,Phase II MS4,,Alameda,CA
6022174001,6022174001,Albany Storm Water System,['CAS029831'],0.0,Phase II MS4,,Contra Costa,CA
6022175001,6022175001,Alameda Storm Water System,['CA0029831'],0.0,Phase II MS4,,Alameda,CA
6023029001,6023029001,"Salinas, City of (Stormwater)",['CA0049981'],0.0,Phase I MS4,,Monterey,CA
6024000001,6024000001,"Los Angeles, City of (Stormwater)",['CAS614001'],0.0,Phase I MS4,,Los Angeles,CA
6024006001,6024006001,Ventura Stormwater,['CAS004002'],0.0,Phase I MS4,,Ventura,CA
6024007001,6024007001,Thousand Oaks Storm Water System,"['CAS004004', 'CAS004002']",0.0,Phase I MS4,,Ventura,CA
6024008010,6024008010,Malibu Storm Water System,['CAS000000'],0.0,Phase II MS4,,,CA
6024012500,6024012500,City of Pasadena Stormwater System,['CAS004001'],0.0,Phase II MS4,,Los Angeles,CA
6024017001,6024017001,Fillmore Stormwater System,['CAS004002'],0.0,Phase I MS4,,,CA
6025000001,6025000001,Livingston Stormwater System,['CAS000004'],0.0,Phase II MS4,,,CA
6025011001,6025011001,Chico Storm Water System,['CAS000004'],0.0,Phase I MS4,,Butte,CA
6025019002,6025019002,City of Lathrop Stormwater System,['CAS000004'],0.0,Phase II MS4,,San Joaquin,CA
6025023002,6025023002,Anderson Storm Water System,['CAS000004'],0.0,Phase II MS4,,,CA
6025043001,6025043001,Chowchilla Storm Water System,['2006-0003-DWQ'],0.0,Phase II MS4,,Madera,CA
6025053001,6025053001,Fresno Storm Water System,['CA0083500'],0.0,Phase I MS4,,Fresno,CA
6025061001,6025061001,Brentwood Storm Water System,['CA0083313'],0.0,Phase II MS4,,,CA
6025121001,6025121001,Sutter Creek Storm Water System,['CA0000000'],0.0,Phase II MS4,,,CA
6025146001,6025146001,City of Manteca Stormwater System,['CAS000004'],0.0,Phase II MS4,,,CA
6025246001,6025246001,Corcoran Storm Water System,['CAS000001'],0.0,Phase II MS4,,Tulare,CA
6025266001,6025266001,Biola Storm Water System,['CA0000000'],0.0,Phase II MS4,,,CA
6025319001,6025319001,McCloud Storm Water System,['CA0000000'],0.0,Phase II MS4,,,CA
6025373001,6025373001,Stockton Storm Water System,['CA0083470'],0.0,Phase I MS4,,,CA
6026000001,6026000001,South Lake Tahoe Stormwater,['CAG616001'],0.0,Phase II MS4,,,CA
6028004001,6028004001,San Bernardino Storm Water System,['CAS618036'],0.0,Phase I MS4,,,CA
6028009001,6028009001,"Chino, City of (Stormwater)",['CAS618036'],0.0,Phase I MS4,,San Bernardino,CA
6028078001,6028078001,Costa Mesa Stormwater,['CAS000004'],0.0,Phase II MS4,,,CA
6029031001,6029031001,San Diego Storm Water System,"['CAS0109266', 'CAS108758']",0.0,Phase I MS4,,San Diego,CA
6029041001,6029041001,"Oceanside, City of (Stormwater)",['CAS0109266'],0.0,Phase I MS4,,San Diego,CA
6029046001,6029046001,"Del Mar, City of (Stormwater)",['CA0108758'],0.0,Phase II MS4,,San Diego,CA
6000000065,6000000065d1,Outfall To Surface Waters,,204525.0,Other,,Stanislaus,CA
6000000065,6000000065d2,Reuse: Agricultural-related and livestock watering,,204525.0,Reuse,,Stanislaus,CA
6000000068,6000000068d1,Ocean Discharge,,184091.0,Ocean Discharge,,Alameda,CA
6000000073,6000000073d1,Ocean Discharge,,207450.0,Ocean Discharge,,Orange,CA
6000000073,6000000073d2,Reuse: Landscape-related irrigation,,207450.0,Reuse,,Orange,CA
6000000081,6000000081d1,Reuse: Landscape-related irrigation,,90000.0,Reuse,,Riverside,CA
6000000081,6000000081d2,Outfall To Surface Waters,,90000.0,Other,,Riverside,CA
6000000082,6000000082d1,Reuse: Landscape-related irrigation,,117000.0,Reuse,,Riverside,CA
6000000082,6000000082d2,"Overland Flow, No Discharge",,117000.0,Other,,Riverside,CA
6000000083,6000000083d1,Outfall To Surface Waters,,56700.0,Other,,Riverside,CA
6000000083,6000000083d2,Reuse: Landscape-related irrigation,,56700.0,Reuse,,Riverside,CA
6000000091,6000000091d1,Outfall To Surface Waters,,33378.0,Other,,San Mateo,CA
6000000091,6000000091d2,Reuse: Environmental restoration and groundwater discharge,,33378.0,Reuse,,San Mateo,CA
6000000098,6000000098d1,Outfall To Surface Waters,,14400.0,Other,,Contra Costa,CA
6000000102,6000000102d1,Reuse: Potable,,0.0,Reuse,,San Diego,CA
6000000105,6000000105d1,Outfall To Surface Waters,,403461.0,Other,,San Bernardino,CA
6000000114,6000000114d1,Ocean Discharge,,0.0,Ocean Discharge,,Alameda,CA
6000000115,6000000115d1,Ocean Discharge,,0.0,Ocean Discharge,,Alameda,CA
6000000116,6000000116d1,Ocean Discharge,,0.0,Ocean Discharge,,Alameda,CA
6000000117,6000000117d1,Reuse: Landscape-related irrigation,,74519.0,Reuse,,Ventura,CA
6000000117,6000000117d2,Reuse: Environmental restoration and groundwater discharge,,74519.0,Reuse,,Ventura,CA
6000000117,6000000117d3,Reuse: Agricultural-related and livestock watering,,74519.0,Reuse,,Ventura,CA
