"CWNS_ID","FACILITY_ID","STATE_CODE","HUC","WATERSHED_NAME","WATERSHED_PRIMARY_FLAG"
"36007222001",1221188,NY,"02050103",Owego-Wappasening,Y
"34006434001",1073844,NJ,"02040202",Lower Delaware,Y
"22009033002",1168610,LA,"08070201",Bayou Sara-Thompson,Y
"01000331001",1102148,AL,"03160201",Middle Tombigbee-Chickasaw,Y
"13000165001",1109171,GA,"03060104",Broad,Y
"51000001001",1192573,VA,"06010205",Upper Clinch,Y
"04000501003",1069361,AZ,"15020016",Lower Little Colorado,
"04000501003",1069361,AZ,"15060202",Upper Verde,
"39007333001",1081517,OH,"05030106",Upper Ohio-Wheeling,Y
"19000649001",1124022,IA,"07080105",South Skunk,Y
"26007003062",3539447,MI,"04100002",Raisin,Y
"19000849001",1124194,IA,"07080209",Lower Iowa,Y
"21000024001",1139487,KY,"05140202",Highland-Pigeon,Y
"31000204001",1145782,NE,"10270202",Middle Big Blue,Y
"31002562001",1146073,NE,"10230001",Blackbird-Soldier,Y
"27003716001",1148309,MN,"07020004",Hawk-Yellow Medicine,Y
"38000320001",1151556,ND,"09010005",Deep,Y
"31001290001",1145933,NE,"10210001",Upper Middle Loup,Y
"27000106001",1147986,MN,"07010206",Twin Cities,Y
"48007039813",2885344,TX,"12040104",Buffalo-San Jacinto,Y
"54004004001",1095167,WV,"05050008",Lower Kanawha,Y
"39001678001",1080957,OH,"05090202",Little Miami,Y
"54003803001",1095149,WV,"05050003",Greenbrier,Y
"01000247001",1102077,AL,"03130004",Lower Chattahoochee,Y
"45000609002",1157229,SC,"03050109",Saluda,Y
"13000776001",1109600,GA,"03130005",Upper Flint,Y
"19000141001",1123569,IA,"07080201",Upper Cedar,Y
"56000129002",3509236,WY,"10080007",Upper Bighorn,Y
"51070000013",3514936,VA,"05070202",Upper Levisa,Y
"54004009002",3513461,WV,"05050008",Lower Kanawha,Y
"51070000016",3514939,VA,"06010101",North Fork Holston,Y
"53200802044",3506840,WA,"17080005",Lower Cowlitz,Y
"41000024001",1164290,OR,"17090007",Middle Willamette,Y
"12000701017",3501041,FL,"03080103",Lower St. Johns,Y
"36003099001",1220526,NY,"02030101",Lower Hudson,Y
"36004065001",1220764,NY,"02020006",Middle Hudson,Y
"18000008013",417747,IN,"05090203",Middle Ohio-Laughery,Y
"34002512011",442432,NJ,"02030105",Raritan,Y
"34001266011",442602,NJ,"02030104",Sandy Hook-Staten Island,Y
"22003002001",1168286,LA,"08080201",Mermentau Headwaters,Y
"22003007001",1168290,LA,"08080202",Mermentau,Y
"22003401001",1168567,LA,"11140203",Loggy Bayou,Y
"06003004001",1175375,CA,"18060006",Central Coastal,Y
"12000199001",1078355,FL,"03140101",St. Andrew-St. Joseph Bays,Y
"54004101001",1095179,WV,"05050004",Lower New,Y
"34001343011",442707,NJ,"02030103",Hackensack-Passaic,Y
"40000707001",3152570,OK,"11050003",Lower Cimarron,Y
"06009047001",1176085,CA,"18070303",San Luis Rey-Escondido,Y
"27000293001",1148125,MN,"07010203",Clearwater-Elk,Y
"37006020001",3208689,NC,"03050103",Lower Catawba,Y
"22001345001",1168276,LA,"08040302",Castor,Y
"13000781001",1109605,GA,"03060109",Lower Savannah,Y
"13000222001",1109277,GA,"03070104",Lower Ocmulgee,Y
"17000640001",1113910,IL,"07120007",Lower Fox,Y
"54003916001",3395395,WV,"05020003",Upper Monongahela,Y
"19000348001",1123750,IA,"10280102",Thompson,Y
"36003023001",1220377,NY,"02020008",Hudson-Wappinger,Y
"55001290082",1206168,WI,"07030005",Lower St. Croix,Y
"55002500001",1206339,WI,"07050002",Flambeau,Y
"37005004001",1153459,NC,"06010203",Tuckasegee,Y
"50000049001",1094099,VT,"01110000",St. Francois,Y
"17000064001",1113352,IL,"05120112",Embarras,Y
"39002471001",1081002,OH,"04100003",St. Joseph,Y
"48020780001",428136,TX,"12110206",Palo Blanco,Y
"47000175002",1165989,TN,"08010205",South Fork Forked Deer,Y
"18000014001",1120066,IN,"05120201",Upper White,Y
"53200802100",3507416,WA,"17030003",Lower Yakima,Y
"48001104003",1182908,TX,"12110208",South Laguna Madre,Y
"48004021001",1183337,TX,"12030105",Upper Trinity,Y
"51000010152",3541144,VA,"02080207",Appomattox,Y
"21009702001",1139893,KY,"05110006",Pond,Y
"22009033215",1168628,LA,"08070202",Amite,Y
"40000536001",1172751,OK,"11060004",Lower Salt Fork Arkansas,Y
"31002590001",1146079,NE,"10220004",Logan,Y
"56000009010",3509237,WY,"10120107",Beaver,Y
"34004001002",2871207,NJ,"02040302",Great Egg Harbor,Y
"24000080002",1214392,MD,"02080111",Western Lower Delmarva,Y
"27005616001",1231546,MN,"07020010",Watonwan,Y
"28000955001",1233748,MS,"08030206",Upper Yazoo,Y
"06008036001",1175991,CA,"18070201",Seal Beach,Y
"06009049001",1176086,CA,"18070304",San Diego,Y
"19000910001",1124247,IA,"07080206",Lower Cedar,Y
"29004026001",1134051,MO,"10290111",Lower Osage,Y
"17001303001",1114068,IL,"07120003",Chicago,Y
"39009136001",1081703,OH,"05030101",Upper Ohio,Y
"38000215001",1151456,ND,"09020109",Goose,Y
"37004101002",1153399,NC,"03030003",Deep,Y
"30000202001",1159238,MT,"17010208",Flathead Lake,Y
"55002360001",1206310,WI,"07090001",Upper Rock,Y
"55003340001",1206476,WI,"04030201",Upper Fox,Y
"36005045001",1220859,NY,"02020003",Hudson-Hoosic,Y
"31001355001",1230219,NE,"10200102",Wood,Y
"34001270001",1073395,NJ,"02030103",Hackensack-Passaic,Y
"42005008004",1196460,PA,"05020005",Lower Monongahela,Y
"36001015001",1220262,NY,"02030202",Southern Long Island,Y
"18000008021",417807,IN,"05120106",Tippecanoe,
"06005077001",1175595,CA,"18040002",Middle San Joaquin-Lower Merced- Lower Stanislaus,Y
"50000061001",1094111,VT,"02010002",Otter,Y
"48007781002",429612,TX,"12030203",Lower Trinity,Y
"38000270001",1151510,ND,"10130204",Upper Cannonball,Y
"29001505001",1133618,MO,"11010002",James,Y
"21000296001",1139712,KY,"05100101",Licking,Y
"18000027001",1120078,IN,"05120204",Driftwood,Y
"18002050001",1120265,IN,"05120110",Sugar,Y
"16000123201",448614,ID,"17040219",Big Wood,Y
"08100200023",448841,CO,"10250002",North Fork Republican,Y
"53000130001",1180757,WA,"17110014",Puyallup,Y
"04001506001",1069527,AZ,"15010007",Hualapai Wash,
"38000087001",1151339,ND,"09020105",Western Wild Rice,Y
"53000111001",3209245,WA,"17010306",Hangman,Y
"38000117001",1151364,ND,"09010002",Des Lacs,Y
"17000657002",1113926,IL,"07090006",Kishwaukee,Y
"20000464002",1130281,KS,"10270103",Delaware,Y
"17000547003",3536416,IL,"04040002",Pike-Root,Y
"08000188001",1066981,CO,"11020011",Big Sandy,Y
"09001240001",1071921,CT,"01100005",Housatonic,Y
"33000078003",3541556,NH,"01070006",Merrimack River,Y
"18000008004",417664,IN,"05120209",Patoka,Y
"54001007001",1094764,WV,"05050004",Lower New,Y
"18005231001",1120471,IN,"05140201",Lower Ohio-Little Pigeon,Y
"12000174002",1239645,FL,"03100201",Sarasota Bay,Y
"40000069001",3139948,OK,"11070209",Lower Neosho,Y
"31002218001",1230257,NE,"10270203",West Fork Big Blue,Y
"19001083001",1124354,IA,"10230003",Little Sioux,Y
"36003035001",1220397,NY,"02020008",Hudson-Wappinger,Y
"40000672001",1172818,OK,"11070103",Middle Verdigris,Y
"17001207001",1114056,IL,"07130007",South Fork Sangamon,Y
"17005002001",1114187,IL,"07140203",Shoal,Y
"21000329001",372676,KY,"05130103",Upper Cumberland-Lake Cumberland,Y
"36002001004",1220308,NY,"02030102",Bronx,Y
"18004654001",1234208,IN,"05120201",Upper White,Y
"41000062001",1238048,OR,"17090003",Upper Willamette,Y
"12000092005",1239615,FL,"03080202",Cape Canaveral,Y
"08000055001",1066858,CO,"10190003",Middle South Platte-Cherry Creek,Y
"27005506001",1231544,MN,"07060001",Coon-Yellow,Y
"06004017001",1175504,CA,"18070102",Santa Clara,Y
"21000256002",3540136,KY,"05100202",Middle Fork Kentucky,Y
"51000010110",3542038,VA,"02080106",Pamunkey,Y
"31000960001",1145892,NE,"10210009",Loup,Y
"08209000085",3500237,CO,"14020004",North Fork Gunnison,Y
"30000113001",1159167,MT,"17010202",Flint-Rock,Y
"41000110001",1164363,OR,"18010202",Sprague,Y
"41000022004",1164281,OR,"17090010",Tualatin,Y
"12000700002",3500140,FL,"03070204",St. Marys,Y
"18000008016",417767,IN,"05120204",Driftwood,Y
"34003405012",442791,NJ,"02040301",Mullica-Toms,Y
"06008022001",1175976,CA,"18070203",Santa Ana,Y
"06008023001",2942642,CA,"18070204",Newport Bay,Y
"33000062001",2868700,NH,"01070002",Merrimack,Y
"34001144011",2970863,NJ,"02030103",Hackensack-Passaic,Y
"34111111801",3314680,NJ,"02040105",Middle Delaware-Musconetcong,Y
"55004330001",1206615,WI,"04030101",Manitowoc-Sheboygan,Y
"01000098001",1101930,AL,"03150109",Middle Tallapoosa,Y
"39008374014",3521319,OH,"05060001",Upper Scioto,Y
"51000010043",3541167,VA,"02070010",Middle Potomac-Anacostia-Occoquan,Y
"21000298001",1139714,KY,"05140102",Salt,Y
"08209000100",3500252,CO,"14010003",Eagle,Y
"55001600002",401018,WI,"04030202",Wolf,Y
"06005045001",1175565,CA,"18020125",Upper Yuba,Y
"53200802101",3507417,WA,"17090012",Lower Willamette,Y
"54002007001",1094898,WV,"05050008",Lower Kanawha,Y
"54003414001",1095124,WV,"05050005",Gauley,Y
"54005403001",1095314,WV,"05030202",Upper Ohio-Shade,Y
"55001740001",1206249,WI,"07120006",Upper Fox,Y
"54003907001",1095156,WV,"05020004",Cheat,Y
"36003029001",1220388,NY,"02020008",Hudson-Wappinger,Y
"36004068002",1220769,NY,"02020006",Middle Hudson,Y
"36009112001",1221461,NY,"04130001",Oak Orchard-Twelvemile,Y
"31000035001",1230165,NE,"10170101",Lewis And Clark Lake,Y
"36005014001",1232129,NY,"04150404",,
"06022012001",3514318,CA,"18050004",San Francisco Bay,Y
"55003100013",3522266,WI,"07120006",Upper Fox,
"29002494001",1133868,MO,"10300104",Blackwater,Y
"12000140003",411619,FL,"03140105",Pensacola Bay,Y
"34003509011",442579,NJ,"02040301",Mullica-Toms,Y
"34005085001",1073743,NJ,"02040206",Cohansey-Maurice,Y
"55003180001",1229207,WI,"07060003",Grant-Little Maquoketa,Y
"08100200005",448401,CO,"11020002",Upper Arkansas,Y
"06008010006",3486596,CA,"18070203",Santa Ana,Y
"33000345001",3541936,NH,"01080107",West,Y
