"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042","TOTAL_RES_POPULATION_2022","TOTAL_RES_POPULATION_2042","TOTAL_NONRES_POPULATION_2022","TOTAL_NONRES_POPULATION_2042","TREATED_DISCHARGE_PERCENTAGE_2022","TREATED_DISCHARGE_PERCENTAGE_2042","NET_TREATED_POPULATION_2022","NET_TREATED_POPULATION_2042","NO_DISCHARGE_PERCENTAGE_2022","NO_DISCHARGE_PERCENTAGE_2042","NO_DISCHARGE_POPULATION_2022","NO_DISCHARGE_POPULATION_2042","PART_OF_SEWERSHED","END_FACILITY"
"39006475001",1081454,OH,Wastewater,Receiving Collection,1191,1191,,,1191,1191,0,0,1,1,1191,1191,,,,,,Y
"39007840001",1081564,OH,Wastewater,Receiving Collection,687,687,,,687,687,0,0,1,1,687,687,0.05,0.05,34,34,,Y
"39007945001",1081569,OH,Wastewater,Receiving Collection,478,478,,,753,753,0,0,1,1,753,753,,,,,Y,Y
"26000166001",1088403,MI,Wastewater,Receiving Collection,489,489,,,489,489,0,0,1,1,489,489,,,,,,Y
"22001280001",1168269,LA,Wastewater,Receiving Collection,30702,30702,,,30702,30702,0,0,1,1,30702,30702,,,,,,Y
"22003100001",1168361,LA,Wastewater,Receiving Collection,305,305,,,305,305,0,0,1,1,305,305,,,,,,Y
"22003112001",1168370,LA,Wastewater,Receiving Collection,1793,1793,,,1793,1793,0,0,1,1,1793,1793,,,,,,Y
"22003165001",1168422,LA,Wastewater,Receiving Collection,983,983,,,983,983,0,0,1,1,983,983,,,,,,Y
"47001425001",1166215,TN,Wastewater,Receiving Collection,4194,4194,2504,2504,4194,4194,2504,2504,1,1,4194,4194,,,,,,Y
"22003422001",1168586,LA,Wastewater,Receiving Collection,212,212,,,212,212,0,0,1,1,212,212,,,,,,Y
"49000008001",1170365,UT,Wastewater,Receiving Collection,7000,8736,,,7000,8736,0,0,0,0,0,0,,,,,Y,
"49000095001",1170447,UT,Wastewater,Receiving Collection,35000,40950,,,35000,40950,0,0,0,0,0,0,,,,,Y,
"40000048001",1172469,OK,Wastewater,Receiving Collection,730,730,,,730,730,0,0,1,1,730,730,1,1,730,730,,Y
"40000092001",1172504,OK,Wastewater,Receiving Collection,1435,1435,,,1435,1435,0,0,1,1,1435,1435,,,,,,Y
"40000325001",1172619,OK,Wastewater,Receiving Collection,1078,1078,,,1078,1078,0,0,1,1,1078,1078,,,,,,Y
"40000434001",1172683,OK,Wastewater,Receiving Collection,548,548,,,548,548,0,0,1,1,548,548,1,1,548,548,,Y
"40000482001",1172718,OK,Wastewater,Receiving Collection,217,217,,,217,217,0,0,1,1,217,217,1,1,217,217,,Y
"40000527001",1172743,OK,Wastewater,Receiving Collection,358,358,,,358,358,0,0,1,1,358,358,,,,,,Y
"40000667001",1172814,OK,Wastewater,Receiving Collection,309,309,,,309,309,0,0,1,1,309,309,1,1,309,309,,Y
"40000714002",1172836,OK,Wastewater,Receiving Collection,8821,8821,,,8821,8821,0,0,1,1,8821,8821,,,,,,Y
"40000785001",1172867,OK,Wastewater,Receiving Collection,700,700,,,700,700,0,0,1,1,700,700,1,1,700,700,,Y
"40000796001",1172875,OK,Wastewater,Receiving Collection,395,395,,,395,395,0,0,1,1,395,395,1,1,395,395,,Y
"06001048001",1175214,CA,Wastewater,Receiving Collection,797,797,464,464,797,797,464,464,1,1,797,797,1,1,797,797,,Y
"06002027001",1175285,CA,Wastewater,Receiving Collection,22330,22330,,,22330,22330,0,0,0,0,0,0,,,,,Y,
"06003005001",1175376,CA,Wastewater,Receiving Collection,12600,13860,,,12600,13860,0,0,1,1,12600,13860,1,1,12600,12600,,Y
"06003061001",1175428,CA,Wastewater,Receiving Collection,15241,15241,,,15241,15241,0,0,1,0.8,15241,12193,0.1,0.1,1524,1524,Y,
"06003083001",1175446,CA,Wastewater,Receiving Collection,104,158,,,104,158,0,0,1,1,104,158,1,1,104,104,,Y
"06005062001",1175583,CA,Wastewater,Receiving Collection,54296,54296,2117,2117,54296,54296,2117,2117,1,1,54296,54296,,,,,,Y
"06005064001",1175585,CA,Wastewater,Receiving Collection,83700,83700,,,83700,83700,0,0,1,1,83700,83700,0.3,0.3,25110,25110,,Y
"06005159001",1175677,CA,Wastewater,Receiving Collection,3096,3096,318,318,3096,3096,318,318,1,1,3096,3096,1,1,3096,3096,,Y
"06005310001",1175761,CA,Wastewater,Receiving Collection,24300,28980,,,24300,28980,0,0,1,1,24300,28980,1,1,24300,24300,,Y
"06006010001",1175863,CA,Wastewater,Receiving Collection,7380,7380,,,7380,7380,0,0,1,1,7380,7380,1,1,7380,7380,,Y
"06008001001",1175945,CA,Wastewater,Receiving Collection,294956,342000,,,366930,459755,0,0,1,1,366930,459755,0.05,0.05,18347,18347,Y,Y
"06008005001",1175949,CA,Wastewater,Receiving Collection,32998,35175,,,32998,35175,0,0,0,0,0,0,,,,,Y,
"06008029001",1175985,CA,Wastewater,Receiving Collection,62869,62869,,,62869,62869,0,0,0,1,0,62869,0,1,0,0,Y,
"06009021001",1176053,CA,Wastewater,Receiving Collection,20616,24030,,,20616,24030,0,0,0,0,0,0,,,,,Y,
"46000043001",1179145,SD,Wastewater,Receiving Collection,1256,1256,,,1256,1256,0,0,1,1,1256,1256,,,,,,Y
"53000207004",1180767,WA,Wastewater,Receiving Collection,3571,3571,,,3571,3571,0,0,1,1,3571,3571,1,1,3571,3571,,Y
"53000292003",1180780,WA,Wastewater,Receiving Collection,690,690,572,572,690,690,572,572,1,1,690,690,,,,,,Y
"53001720001",1180996,WA,Wastewater,Receiving Collection,412,412,,,412,412,0,0,1,1,412,412,,,,,,Y
"53002630001",1181098,WA,Wastewater,Receiving Collection,660,660,,,660,660,0,0,1,1,660,660,,,,,,Y
