"CWNS_ID","FACILITY_ID","STATE_CODE","DISCHARGE_TYPE","PRESENT_DISCHARGE_PERCENTAGE","PROJECTED_DISCHARGE_PERCENTAGE","DISCHARGES_TO_CWNSID"
"48003043003",3514976,TX,Outfall To Surface Waters,100,100,
"41000000001",3515100,OR,Discharge To Another Facility,100,100,"41000067001"
"18120000033",3525069,IN,Outfall To Surface Waters,100,100,
"39005145007",3529476,OH,Discharge To Another Facility,100,100,"39001625005"
"08201200096",3531116,CO,Discharge To Another Facility,100,100,"08000124101"
"18120000060",3531396,IN,Outfall To Surface Waters,100,100,
"17000711005",3533096,IL,Outfall To Surface Waters,100,100,
"78010200011",3536856,VI,Discharge To Another Facility,100,100,"78000001002"
"24000090036",3537596,MD,Reuse: Irrigation,100,100,
"31001708002",3539916,NE,Outfall To Surface Waters,100,100,
"40000648002",376916,OK,Evaporation,100,100,
"39009600006",380438,OH,Outfall To Surface Waters,100,100,
"21000221002",393794,KY,Outfall To Surface Waters,0,100,
"37008108001",397984,NC,Outfall To Surface Waters,100,100,
"17002031001",505091,IL,Discharge To Another Facility,100,100,"17000715001"
"10000013001",1066456,DE,Discharge To Another Facility,100,100,"10000011001"
"08000148001",1066944,CO,Outfall To Surface Waters,60,60,
"08000148001",1066944,CO,Reuse: Landscape-related irrigation,40,40,
"04000314001",1069329,AZ,Evaporation,50,50,
"04000314001",1069329,AZ,Reuse: Agricultural-related and livestock watering,50,50,
"34001105001",1073319,NJ,Outfall To Surface Waters,100,100,
"34001196001",1073358,NJ,Discharge To Another Facility,100,100,"34001005001"
"34001215001",1073367,NJ,Discharge To Another Facility,100,100,"34001082001"
"34001454001",1073489,NJ,Discharge To Another Facility,100,100,"34001030001"
"34001455001",1073490,NJ,Discharge To Another Facility,100,100,"34001082001"
"34002521001",1073603,NJ,Discharge To Another Facility,100,100,"34002076001"
"34006171001",1073820,NJ,Discharge To Another Facility,100,100,"34006012001"
"34006294001",1073834,NJ,Discharge To Another Facility,100,100,"34006012001"
"34007153001",1073876,NJ,Outfall To Surface Waters,100,100,
"12000042002",1078157,FL,Discharge To Another Facility,67,67,"12000037002"
"12000051001",1078170,FL,Overland Flow With Discharge,50,50,
"12000076007",1078205,FL,Reuse: Landscape-related irrigation,100,100,
"39000004001",1080426,OH,Discharge To Another Facility,100,100,"39001666001"
"39000054001",1080478,OH,Outfall To Surface Waters,100,100,
"39000059002",1080484,OH,Discharge To Another Facility,100,100,"39002933001"
"39000349001",1080759,OH,Outfall To Surface Waters,100,100,
"39000553001",1080816,OH,Outfall To Surface Waters,100,100,
"39003193001",1081088,OH,Discharge To Another Facility,100,100,"39001792001"
"39003907002",1081140,OH,Outfall To Surface Waters,100,100,
"39004627001",1081202,OH,Outfall To Surface Waters,100,100,
"39005873001",1081324,OH,Outfall To Surface Waters,100,100,
"39006699001",1081470,OH,Outfall To Surface Waters,100,100,
"39007441001",1081527,OH,Outfall To Surface Waters,100,100,
"26000045001",1088337,MI,Outfall To Surface Waters,100,100,
"26000054001",1088341,MI,Outfall To Surface Waters,100,100,
"26000222001",1088425,MI,Discharge To Another Facility,100,100,"26000214001"
"26000318001",1088467,MI,Outfall To Surface Waters,100,100,
"26000558001",1088593,MI,Outfall To Surface Waters,100,100,
"26000713001",1088621,MI,Discharge To Another Facility,56,56,"26000727002"
"26000713001",1088621,MI,Discharge To Another Facility,44,44,"26000700001"
"26001014001",1088663,MI,Outfall To Surface Waters,100,100,
"26001105001",1088675,MI,Outfall To Surface Waters,100,100,
"26001112002",1088684,MI,Discharge To Another Facility,100,100,"26001112001"
"26002003007",1088694,MI,Discharge To Another Facility,100,100,"26002003001"
"26002009001",1088708,MI,Outfall To Surface Waters,100,100,
"26002009001",1088708,MI,CSO Discharge,0,0,
"26002117001",1088782,MI,Outfall To Surface Waters,100,100,
"26002140001",1088798,MI,Reuse: Environmental restoration and groundwater discharge,100,100,
"26003037001",1088850,MI,Reuse: Environmental restoration and groundwater discharge,100,100,
"25000043001",1092346,MA,Discharge To Another Facility,100,100,"25000128001"
"25000052001",1092355,MA,Discharge To Another Facility,100,100,"25000035001"
"25000125001",1092419,MA,Discharge To Another Facility,100,100,"25000128001"
"25000227001",1092512,MA,Discharge To Another Facility,100,100,"25000074001"
"50000022001",1094073,VT,Discharge To Another Facility,100,100,"50000045001"
"50000045001",1094095,VT,Outfall To Surface Waters,100,100,
"50000054001",1094105,VT,Outfall To Surface Waters,100,100,
"54000207001",1094701,WV,Outfall To Surface Waters,100,100,
"54002905001",1095044,WV,Outfall To Surface Waters,100,100,
"54003203001",1095093,WV,Outfall To Surface Waters,100,100,
"54003204001",1095095,WV,Outfall To Surface Waters,100,100,
"54003403001",1095116,WV,Outfall To Surface Waters,85,85,
"33000005001",1100901,NH,Discharge To Another Facility,100,100,"33000100003"
"33000074001",1100963,NH,Outfall To Surface Waters,100,100,
"33000106001",1100989,NH,Outfall To Surface Waters,100,100,
