"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RES_POP_PER_UNIT","RES_NUM_OF_UNIT_2022","RES_NUM_OF_UNIT_2042","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRES_POP_PER_UNIT","NONRES_NUM_OF_UNIT_2022","NONRES_NUM_OF_UNIT_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042"
"02000500079",3608473,AK,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.79,900,1800,2511,5022,2.79,120,240,334.8,669.6
"01000000136",3608603,AL,Decentralized Wastewater Treatment,Clustered Systems,2.52,25,25,63,63,2.52,,,,
"50000000013",3606597,VT,Decentralized Wastewater Treatment,Clustered Systems,2.83,105,,297.15,,2.28,73,,166.44,
"19000000031",3608183,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,8494,17233,21404.88,43427.16,,,,,
"19000000122",3608274,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,347,704,874.44,1774.08,,,,,
"19000000120",3608272,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,379,768,955.08,1935.36,,,,,
"19000000119",3608271,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,386,784,972.72,1975.68,,,,,
"19000000116",3608268,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,400,812,1008,2046.24,,,,,
"19000000111",3608263,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,489,991,1232.28,2497.32,,,,,
"19000000108",3608260,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,506,1026,1275.12,2585.52,,,,,
"19000000105",3608257,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,528,1072,1330.56,2701.44,,,,,
"19000000104",3608256,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,536,1088,1350.72,2741.76,,,,,
"19000000103",3608255,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,544,1103,1370.88,2779.56,,,,,
"19000000102",3608254,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,547,1110,1378.44,2797.2,,,,,
"19000000100",3608252,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,568,1153,1431.36,2905.56,,,,,
"19000000114",3608266,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,437,887,1101.24,2235.24,,,,,
"19000000096",3608248,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,603,1223,1519.56,3081.96,,,,,
"19000000092",3608244,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,650,1319,1638,3323.88,,,,,
"19000000091",3608243,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,665,1348,1675.8,3396.96,,,,,
"19000000090",3608242,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,674,1368,1698.48,3447.36,,,,,
